"","location","region","month","year","median_donation","race_ethnicity","value","lower","upper","serology_type"
"1",6,"bay_area",7,2020,2020-07-17,"asian",0.005,0.001,0.031,"infection"
"2",6,"bay_area",7,2020,2020-07-17,"black",0,0,0.114,"infection"
"3",6,"bay_area",7,2020,2020-07-17,"latino",0.009,0.002,0.039,"infection"
"4",6,"bay_area",7,2020,2020-07-17,"other",0,0,0.11,"infection"
"5",6,"bay_area",7,2020,2020-07-17,"overall",0.008,0.004,0.014,"infection"
"6",6,"bay_area",7,2020,2020-07-17,"white",0.01,0.005,0.02,"infection"
"7",6,"bay_area",8,2020,2020-08-11,"asian",0.004,0.001,0.026,"infection"
"8",6,"bay_area",8,2020,2020-08-11,"black",0.034,0.006,0.183,"infection"
"9",6,"bay_area",8,2020,2020-08-11,"latino",0.036,0.01,0.129,"infection"
"10",6,"bay_area",8,2020,2020-08-11,"other",0.022,0.003,0.15,"infection"
"11",6,"bay_area",8,2020,2020-08-11,"overall",0.017,0.008,0.035,"infection"
"12",6,"bay_area",8,2020,2020-08-11,"white",0.013,0.007,0.025,"infection"
"13",6,"bay_area",9,2020,2020-09-09,"asian",0.003,0,0.023,"infection"
"14",6,"bay_area",9,2020,2020-09-09,"black",0,0,0.117,"infection"
"15",6,"bay_area",9,2020,2020-09-09,"latino",0.04,0.015,0.106,"infection"
"16",6,"bay_area",9,2020,2020-09-09,"other",0,0,0.117,"infection"
"17",6,"bay_area",9,2020,2020-09-09,"overall",0.014,0.007,0.027,"infection"
"18",6,"bay_area",9,2020,2020-09-09,"white",0.009,0.005,0.017,"infection"
"19",6,"bay_area",10,2020,2020-10-09,"asian",0,0,0.019,"infection"
"20",6,"bay_area",10,2020,2020-10-09,"black",0,0,0.138,"infection"
"21",6,"bay_area",10,2020,2020-10-09,"latino",0.046,0.015,0.133,"infection"
"22",6,"bay_area",10,2020,2020-10-09,"other",0.013,0.001,0.114,"infection"
"23",6,"bay_area",10,2020,2020-10-09,"overall",0.017,0.008,0.035,"infection"
"24",6,"bay_area",10,2020,2020-10-09,"white",0.013,0.007,0.022,"infection"
"25",6,"bay_area",11,2020,2020-11-09,"asian",0.02,0.004,0.092,"infection"
"26",6,"bay_area",11,2020,2020-11-09,"black",0.1,0.017,0.415,"infection"
"27",6,"bay_area",11,2020,2020-11-09,"latino",0.03,0.012,0.074,"infection"
"28",6,"bay_area",11,2020,2020-11-09,"other",0.016,0.002,0.14,"infection"
"29",6,"bay_area",11,2020,2020-11-09,"overall",0.026,0.016,0.043,"infection"
"30",6,"bay_area",11,2020,2020-11-09,"white",0.021,0.012,0.037,"infection"
"31",6,"bay_area",12,2020,2020-12-09,"asian",0.009,0.002,0.038,"infection"
"32",6,"bay_area",12,2020,2020-12-09,"black",0,0,0.099,"infection"
"33",6,"bay_area",12,2020,2020-12-09,"latino",0.042,0.012,0.133,"infection"
"34",6,"bay_area",12,2020,2020-12-09,"other",0.081,0.023,0.252,"infection"
"35",6,"bay_area",12,2020,2020-12-09,"overall",0.026,0.016,0.042,"infection"
"36",6,"bay_area",12,2020,2020-12-09,"white",0.025,0.016,0.039,"infection"
"37",6,"bay_area",1,2021,2021-01-13,"asian",0.04,0.011,0.14,"infection"
"38",6,"bay_area",1,2021,2021-01-13,"black",0.062,0.011,0.286,"infection"
"39",6,"bay_area",1,2021,2021-01-13,"latino",0.046,0.015,0.128,"infection"
"40",6,"bay_area",1,2021,2021-01-13,"other",0.104,0.03,0.302,"infection"
"41",6,"bay_area",1,2021,2021-01-13,"overall",0.043,0.028,0.066,"infection"
"42",6,"bay_area",1,2021,2021-01-13,"white",0.034,0.023,0.05,"infection"
"43",6,"bay_area",2,2021,2021-02-12,"asian",0.041,0.018,0.09,"infection"
"44",6,"bay_area",2,2021,2021-02-12,"black",0.025,0.002,0.215,"infection"
"45",6,"bay_area",2,2021,2021-02-12,"latino",0.148,0.088,0.237,"infection"
"46",6,"bay_area",2,2021,2021-02-12,"other",0.071,0.019,0.235,"infection"
"47",6,"bay_area",2,2021,2021-02-12,"overall",0.072,0.052,0.099,"infection"
"48",6,"bay_area",2,2021,2021-02-12,"white",0.05,0.038,0.066,"infection"
"49",6,"bay_area",3,2021,2021-03-13,"asian",0.049,0.021,0.112,"infection"
"50",6,"bay_area",3,2021,2021-03-13,"black",0,0,0.149,"infection"
"51",6,"bay_area",3,2021,2021-03-13,"latino",0.145,0.083,0.241,"infection"
"52",6,"bay_area",3,2021,2021-03-13,"other",0.111,0.031,0.323,"infection"
"53",6,"bay_area",3,2021,2021-03-13,"overall",0.079,0.058,0.108,"infection"
"54",6,"bay_area",3,2021,2021-03-13,"white",0.065,0.049,0.086,"infection"
"55",6,"bay_area",4,2021,2021-04-13,"asian",0.057,0.027,0.116,"infection"
"56",6,"bay_area",4,2021,2021-04-13,"black",0.124,0.04,0.326,"infection"
"57",6,"bay_area",4,2021,2021-04-13,"latino",0.151,0.089,0.246,"infection"
"58",6,"bay_area",4,2021,2021-04-13,"other",0.115,0.033,0.328,"infection"
"59",6,"bay_area",4,2021,2021-04-13,"overall",0.09,0.067,0.12,"infection"
"60",6,"bay_area",4,2021,2021-04-13,"white",0.072,0.057,0.09,"infection"
"61",6,"bay_area",5,2021,2021-05-13,"asian",0.031,0.013,0.072,"infection"
"62",6,"bay_area",5,2021,2021-05-13,"black",0.213,0.053,0.57,"infection"
"63",6,"bay_area",5,2021,2021-05-13,"latino",0.126,0.069,0.217,"infection"
"64",6,"bay_area",5,2021,2021-05-13,"other",0.07,0.012,0.318,"infection"
"65",6,"bay_area",5,2021,2021-05-13,"overall",0.074,0.056,0.098,"infection"
"66",6,"bay_area",5,2021,2021-05-13,"white",0.06,0.042,0.085,"infection"
"67",6,"bay_area",6,2021,2021-06-13,"asian",0.032,0.013,0.076,"infection"
"68",6,"bay_area",6,2021,2021-06-13,"black",0.184,0.07,0.404,"infection"
"69",6,"bay_area",6,2021,2021-06-13,"latino",0.188,0.118,0.287,"infection"
"70",6,"bay_area",6,2021,2021-06-13,"other",0.064,0.016,0.228,"infection"
"71",6,"bay_area",6,2021,2021-06-13,"overall",0.09,0.069,0.117,"infection"
"72",6,"bay_area",6,2021,2021-06-13,"white",0.067,0.046,0.096,"infection"
"73",6,"bay_area",7,2021,2021-07-16,"asian",0.086,0.048,0.147,"infection"
"74",6,"bay_area",7,2021,2021-07-16,"black",0,0,0.138,"infection"
"75",6,"bay_area",7,2021,2021-07-16,"latino",0.148,0.083,0.249,"infection"
"76",6,"bay_area",7,2021,2021-07-16,"other",0.086,0.025,0.26,"infection"
"77",6,"bay_area",7,2021,2021-07-16,"overall",0.092,0.071,0.117,"infection"
"78",6,"bay_area",7,2021,2021-07-16,"white",0.076,0.057,0.102,"infection"
"79",6,"bay_area",8,2021,2021-08-10,"asian",0.041,0.018,0.091,"infection"
"80",6,"bay_area",8,2021,2021-08-10,"black",0.071,0.019,0.237,"infection"
"81",6,"bay_area",8,2021,2021-08-10,"latino",0.129,0.08,0.2,"infection"
"82",6,"bay_area",8,2021,2021-08-10,"other",0.107,0.029,0.32,"infection"
"83",6,"bay_area",8,2021,2021-08-10,"overall",0.081,0.063,0.105,"infection"
"84",6,"bay_area",8,2021,2021-08-10,"white",0.079,0.061,0.103,"infection"
"85",6,"bay_area",9,2021,2021-09-12,"asian",0.042,0.021,0.08,"infection"
"86",6,"bay_area",9,2021,2021-09-12,"black",0.096,0.027,0.293,"infection"
"87",6,"bay_area",9,2021,2021-09-12,"latino",0.182,0.121,0.264,"infection"
"88",6,"bay_area",9,2021,2021-09-12,"other",0.085,0.021,0.287,"infection"
"89",6,"bay_area",9,2021,2021-09-12,"overall",0.096,0.074,0.122,"infection"
"90",6,"bay_area",9,2021,2021-09-12,"white",0.082,0.064,0.106,"infection"
"91",6,"bay_area",10,2021,2021-10-11,"asian",0.086,0.04,0.177,"infection"
"92",6,"bay_area",10,2021,2021-10-11,"black",0.066,0.012,0.297,"infection"
"93",6,"bay_area",10,2021,2021-10-11,"latino",0.141,0.079,0.239,"infection"
"94",6,"bay_area",10,2021,2021-10-11,"other",0.097,0.024,0.314,"infection"
"95",6,"bay_area",10,2021,2021-10-11,"overall",0.084,0.062,0.111,"infection"
"96",6,"bay_area",10,2021,2021-10-11,"white",0.053,0.041,0.069,"infection"
"97",6,"bay_area",11,2021,2021-11-09,"asian",0.098,0.055,0.166,"infection"
"98",6,"bay_area",11,2021,2021-11-09,"black",0.09,0.019,0.339,"infection"
"99",6,"bay_area",11,2021,2021-11-09,"latino",0.112,0.064,0.19,"infection"
"100",6,"bay_area",11,2021,2021-11-09,"other",0.14,0.05,0.337,"infection"
