"geoid","pop_size","percent","race_ethnicity"
6013313102,1626,0.342,"latino"
6013313104,1257,0.435,"latino"
6013313105,2118,0.387,"latino"
6013313106,2137,0.291,"latino"
6013313107,1191,0.404,"latino"
6013313203,1589,0.455,"latino"
6013313204,2587,0.44,"latino"
6013313205,1184,0.598,"latino"
6013313206,3898,0.6,"latino"
6013314102,3596,0.529,"latino"
6013314103,3460,0.607,"latino"
6013314105,3017,0.648,"latino"
6013314106,2383,0.573,"latino"
6013314200,5991,0.807,"latino"
6013315000,1092,0.313,"latino"
6013316000,206,0.194,"latino"
6013317000,71,0.039,"latino"
6013318000,538,0.151,"latino"
6013319001,1183,0.271,"latino"
6013319002,997,0.266,"latino"
6013320001,920,0.285,"latino"
6013320003,293,0.097,"latino"
6013320004,1077,0.166,"latino"
6013321101,1543,0.229,"latino"
6013321102,653,0.106,"latino"
6013321103,441,0.095,"latino"
6013321200,1052,0.191,"latino"
6013322000,1227,0.181,"latino"
6013323000,897,0.198,"latino"
6013324002,566,0.114,"latino"
6013324003,191,0.058,"latino"
6013324004,400,0.162,"latino"
6013325000,1261,0.2,"latino"
6013326000,207,0.056,"latino"
6013327001,1493,0.421,"latino"
6013327002,1184,0.326,"latino"
6013328000,453,0.214,"latino"
6013329000,2511,0.388,"latino"
6013330000,1697,0.296,"latino"
6013331000,1577,0.202,"latino"
6013332000,2286,0.272,"latino"
6013333101,691,0.172,"latino"
6013333102,559,0.135,"latino"
6029003500,2465,0.301,"latino"
6029003600,1747,0.428,"latino"
6029003806,1646,0.305,"latino"
6029003807,1063,0.287,"latino"
6029003808,1500,0.325,"latino"
6029003810,441,0.177,"latino"
6029003811,594,0.252,"latino"
6029003812,1627,0.333,"latino"
6029003814,2071,0.303,"latino"
6029003815,2307,0.371,"latino"
6029003816,1884,0.474,"latino"
6029003817,1227,0.331,"latino"
6029003818,1450,0.266,"latino"
6029003819,818,0.177,"latino"
6029003820,1180,0.432,"latino"
6029003821,1237,0.28,"latino"
6029003822,928,0.309,"latino"
6029003823,777,0.187,"latino"
6029003824,1103,0.416,"latino"
6029003825,792,0.275,"latino"
6029003826,425,0.156,"latino"
6029003827,402,0.17,"latino"
6029003900,1547,0.479,"latino"
6029004001,3868,0.845,"latino"
6029004002,3544,0.87,"latino"
6029004101,4728,0.781,"latino"
6029004102,4711,0.936,"latino"
6029004302,3063,0.56,"latino"
6029004303,4875,0.923,"latino"
6029004304,2255,0.887,"latino"
6029004305,1611,0.891,"latino"
6029004402,4680,0.944,"latino"
6029004403,2556,0.873,"latino"
6029004404,3949,0.88,"latino"
6029004500,2655,0.927,"latino"
6029004601,2209,0.502,"latino"
6029004603,1825,0.575,"latino"
6029004605,2153,0.672,"latino"
6029004606,1647,0.642,"latino"
6029004607,5669,0.939,"latino"
6029004702,3525,0.963,"latino"
6029004703,4750,0.926,"latino"
6029004704,5248,0.888,"latino"
6029004801,3889,0.918,"latino"
6029004802,5843,0.955,"latino"
6029004901,5040,0.794,"latino"
6037199700,1999,0.68,"latino"
6037199801,2584,0.691,"latino"
6037199802,969,0.439,"latino"
6037199900,2083,0.82,"latino"
6037201110,1653,0.709,"latino"
6037201120,3215,0.787,"latino"
6037201200,2199,0.788,"latino"
6037201301,2894,0.793,"latino"
6037201302,788,0.203,"latino"
6037201401,3473,0.779,"latino"
6037201402,3397,0.761,"latino"
6037201501,4363,0.814,"latino"
6037201503,2792,0.877,"latino"
6037201504,1570,0.762,"latino"
6037201601,1791,0.746,"latino"
6037201602,2484,0.846,"latino"
6037201700,2992,0.595,"latino"
6037203100,4320,0.944,"latino"
6037203200,5035,0.943,"latino"
6037203300,1433,0.769,"latino"
6037203500,2213,0.726,"latino"
6037203601,2683,0.996,"latino"
6037203602,1702,0.923,"latino"
6037203710,3446,0.98,"latino"
6037203720,3816,0.983,"latino"
6037203800,4516,0.974,"latino"
6037203900,3044,0.957,"latino"
6037204110,3217,0.954,"latino"
6037204120,2438,0.924,"latino"
6037204200,3341,0.966,"latino"
6037204300,5137,0.959,"latino"
6037204410,2528,0.96,"latino"
6037204420,2788,0.903,"latino"
6037204600,3744,0.915,"latino"
6037204700,5041,0.965,"latino"
6037204810,4739,0.958,"latino"
6037204820,2083,0.929,"latino"
6037204910,3017,0.954,"latino"
6037204920,2484,0.98,"latino"
6037205110,3332,0.958,"latino"
6037205120,3561,0.978,"latino"
6037206010,2117,0.548,"latino"
6037206020,4468,0.421,"latino"
6037206050,1839,0.838,"latino"
6037402705,2664,0.773,"latino"
6037402706,2931,0.775,"latino"
6037402801,4515,0.918,"latino"
6037402803,3269,0.923,"latino"
6037402804,3742,0.853,"latino"
6037402902,5236,0.719,"latino"
6037402903,3063,0.792,"latino"
6037402904,3027,0.824,"latino"
6037403000,5904,0.811,"latino"
6037403305,310,0.14,"latino"
