number of persons by household size ,white,latino,asian,black,overall
1,2019333,461348,230427,325334,3111481
2,4606038,1535163,868155,469098,7522971
3,3028302,2143490,883792,462112,6714957
4,3457896,2982486,1196205,423446,8248707
5,1644531,2806036,593150,233141,5400559
6+,1008904,3329542,451146,305757,5209948
total persons,15765004,13258065,4222874,2218888,36207622
total households,6775604,3459197,1417126,881957,12821453
average household size ,2.33,3.83,2.98,2.52,2.82
mean household contacts ,2.07,3.22,2.57,2.31,2.58
