"geoid","children5_17","percent","race_ethnicity"
6001,69705,0.275,"asian"
6001,22306,0.088,"black"
6001,86181,0.34,"latino"
6001,30670,0.133,"other"
6001,41570,0.164,"white"
6005,19,0.004,"asian"
6005,19,0.004,"black"
6005,1083,0.231,"latino"
6005,455,0.105,"other"
6005,3077,0.656,"white"
6007,1966,0.06,"asian"
6007,655,0.02,"black"
6007,8423,0.257,"latino"
6007,3048,0.109,"other"
6007,18157,0.554,"white"
6009,35,0.006,"asian"
6009,41,0.007,"black"
6009,1284,0.22,"latino"
6009,485,0.0879999999999999,"other"
6009,3964,0.679,"white"
6011,49,0.011,"asian"
6011,36,0.008,"black"
6011,3572,0.8,"latino"
6011,103,0.025,"other"
6011,697,0.156,"white"
6013,26455,0.134,"asian"
6013,16584,0.084,"black"
6013,73441,0.372,"latino"
6013,23493,0.134,"other"
6013,54489,0.276,"white"
6015,181,0.042,"asian"
6015,30,0.007,"black"
6015,967,0.224,"latino"
6015,971,0.224,"other"
6015,2171,0.503,"white"
6017,1151,0.041,"asian"
6017,281,0.01,"black"
6017,5698,0.203,"latino"
6017,2190,0.0859999999999999,"other"
6017,18527,0.66,"white"
6019,19973,0.095,"asian"
6019,9881,0.047,"black"
6019,138339,0.658,"latino"
6019,7989,0.0410000000000001,"other"
6019,33428,0.159,"white"
6021,122,0.021,"asian"
6021,29,0.005,"black"
6021,3225,0.555,"latino"
6021,244,0.051,"other"
6021,2138,0.368,"white"
6023,630,0.033,"asian"
6023,210,0.011,"black"
6023,3686,0.193,"latino"
6023,3954,0.218,"other"
6023,10410,0.545,"white"
6025,152,0.004,"asian"
6025,266,0.007,"black"
6025,35420,0.931,"latino"
6025,571,0.0170000000000001,"other"
6025,1560,0.041,"white"
6027,23,0.007,"asian"
6027,207,0.063,"black"
6027,1781,0.542,"latino"
6027,516,0.169,"other"
6027,720,0.219,"white"
6029,4843,0.025,"asian"
6029,10266,0.053,"black"
6029,128233,0.662,"latino"
6029,7748,0.046,"other"
6029,41453,0.214,"white"
6031,296,0.01,"asian"
6031,976,0.033,"black"
6031,21096,0.713,"latino"
6031,1805,0.063,"other"
6031,5355,0.181,"white"
6033,60,0.006,"asian"
6033,141,0.014,"black"
6033,4050,0.402,"latino"
6033,1088,0.116,"other"
6033,4655,0.462,"white"
6035,31,0.008,"asian"
6035,43,0.011,"black"
6035,775,0.197,"latino"
6035,484,0.129,"other"
6035,2578,0.655,"white"
6037,127142,0.079,"asian"
6037,114267,0.071,"black"
6037,1057371,0.657,"latino"
6037,86907,0.059,"other"
6037,215659,0.134,"white"
6039,461,0.015,"asian"
6039,369,0.012,"black"
6039,23222,0.756,"latino"
6039,891,0.0350000000000001,"other"
6039,5590,0.182,"white"
6041,1825,0.046,"asian"
