"geoid","pop_size","percent","race_ethnicity"
37001020100,63,0.015,"asian"
37001020100,1170,0.277,"black"
37001020100,199,0.047,"other"
37001020100,2788,0.66,"white"
37001020200,143,0.034,"asian"
37001020200,1018,0.242,"black"
37001020200,1767,0.42,"other"
37001020200,1275,0.303,"white"
37001020301,0,0,"asian"
37001020301,1149,0.294,"black"
37001020301,1462,0.374,"other"
37001020301,1294,0.331,"white"
37001020302,0,0,"asian"
37001020302,581,0.161,"black"
37001020302,2282,0.632,"other"
37001020302,747,0.207,"white"
37001020400,0,0,"asian"
37001020400,3605,0.584,"black"
37001020400,1370,0.222,"other"
37001020400,1198,0.194,"white"
37001020501,69,0.018,"asian"
37001020501,436,0.113,"black"
37001020501,413,0.107,"other"
37001020501,2941,0.762,"white"
37001020502,165,0.038,"asian"
37001020502,2066,0.476,"black"
37001020502,1007,0.232,"other"
37001020502,1098,0.253,"white"
37001020601,45,0.014,"asian"
37001020601,23,0.007,"black"
37001020601,220,0.068,"other"
37001020601,2946,0.911,"white"
37001020602,13,0.005,"asian"
37001020602,92,0.035,"black"
37001020602,213,0.081,"other"
37001020602,2307,0.878,"white"
37001020701,17,0.003,"asian"
37001020701,713,0.127,"black"
37001020701,651,0.116,"other"
37001020701,4225,0.753,"white"
37001020702,121,0.022,"asian"
37001020702,1612,0.293,"black"
37001020702,644,0.117,"other"
37001020702,3130,0.569,"white"
37001020801,29,0.016,"asian"
37001020801,238,0.131,"black"
37001020801,473,0.26,"other"
37001020801,1079,0.593,"white"
37001020802,160,0.027,"asian"
37001020802,2192,0.371,"black"
37001020802,2275,0.385,"other"
37001020802,1282,0.217,"white"
37001020901,103,0.029,"asian"
37001020901,390,0.11,"black"
37001020901,749,0.211,"other"
37001020901,2307,0.65,"white"
37001020902,0,0,"asian"
37001020902,333,0.079,"black"
37001020902,581,0.138,"other"
37001020902,3301,0.784,"white"
37001021000,0,0,"asian"
37001021000,1729,0.366,"black"
37001021000,1511,0.32,"other"
37001021000,1483,0.314,"white"
37001021101,3,0.001,"asian"
37001021101,849,0.26,"black"
37001021101,431,0.132,"other"
37001021101,1983,0.607,"white"
37001021102,44,0.013,"asian"
37001021102,664,0.196,"black"
37001021102,247,0.073,"other"
37001021102,2433,0.718,"white"
37001021201,6,0.001,"asian"
37001021201,1863,0.297,"black"
37001021201,1456,0.232,"other"
37001021201,2949,0.47,"white"
37001021204,0,0,"asian"
37001021204,881,0.181,"black"
37001021204,647,0.133,"other"
37001021204,3329,0.684,"white"
37001021205,270,0.035,"asian"
37001021205,2295,0.298,"black"
37001021205,832,0.108,"other"
37001021205,4305,0.559,"white"
37001021206,39,0.007,"asian"
37001021206,1574,0.282,"black"
37001021206,731,0.131,"other"
37001021206,3238,0.58,"white"
37001021207,45,0.013,"asian"
37001021207,272,0.079,"black"
37001021207,438,0.127,"other"
37001021207,2691,0.781,"white"
37001021300,6,0.001,"asian"
37001021300,1733,0.282,"black"
37001021300,356,0.058,"other"
37001021300,4043,0.658,"white"
37001021400,0,0,"asian"
37001021400,165,0.068,"black"
37001021400,385,0.159,"other"
37001021400,1873,0.774,"white"
37001021500,0,0,"asian"
37001021500,435,0.095,"black"
37001021500,275,0.06,"other"
37001021500,3869,0.845,"white"
37001021600,146,0.019,"asian"
37001021600,904,0.118,"black"
37001021600,575,0.075,"other"
